state,phone_number,international_plan,voice_mail_plan,total_day_minutes,total_day_charge,total_eve_minutes,total_eve_charge,total_night_minutes,total_night_charge,total_intl_minutes,total_intl_charge,account_length,area_code,number_vmail_messages,total_day_calls,total_eve_calls,total_night_calls,total_intl_calls,customer_service_calls
KS,0.09338193918989605,0.49804366857739585,0.10678247286369741,0.003199091957616745,0.09507086105195281,0.001513074107921375,0.001842236666168252,0.008978872520181164,0.03791521190735381,0.0,0.032955794450086374,0.014271815733539172,0.02957159792251409,0.004892004966113958,0.038690402967991665,0.0270087454897065,0.0004750538433077782,0.005407155784556981,0.0
OH,0.1390701997579944,0.38939109782069153,0.1544758295638627,0.001293485961077006,0.010285917305660716,0.004516392668355106,0.005991918739249978,0.011390542195021612,0.08784176235619738,0.0,0.03585961301000595,0.0,0.046826162043263606,0.009864930229918197,0.06533654342602961,0.022952657955366322,0.0033300978874026637,0.011321394178865357,0.00025145490103790474
NJ,0.11674602156907982,0.3323726017210122,0.1265840643245201,0.01602992945542928,0.01641621523370351,0.005329580370003902,0.04422823097662658,0.002464553731879081,0.026440516847154063,0.015477443808860068,0.08611676903511509,0.011785500220687343,0.02061527760686539,0.011630958135550118,0.027650954835433426,0.11498895030512964,0.01914453303223807,0.0057013527179686965,0.00027654607274364137
OH,0.17829771005003073,0.3541270503731538,0.18783620629356534,0.03670728623888429,0.010520818956715463,0.12277071152337707,0.005953698760047978,0.005703971268880848,0.025395860252169083,0.01320516317701389,0.010916773681813001,0.005857380419888363,0.006396050400961031,0.006649016855471067,0.0038831946706672804,0.004140462149536648,0.0033841680061115417,0.015783658986580573,0.0024708179351319954
OK,0.1692267615068331,0.28972713378468923,0.20541791378576404,0.014559097854797927,0.01413265017864537,0.0570221480743754,0.02246598741078059,0.014699037071921094,0.03525109087318683,0.024944123614361473,0.01989632892479057,0.014767639492536302,0.02604442541386087,0.011408286991234267,0.01670635856783365,0.01883174863941534,0.01661688961399538,0.02145431780826032,0.006828060392718211
AL,0.38325577018249407,0.1991185113602608,0.1422237044369905,0.028366188347885072,0.020006633536071163,0.03920978155992456,0.012275729595332206,0.05609259096946012,0.01052666000117747,0.039703048307073156,0.0,0.014001152913289476,0.00014689398403518265,0.02497317906006243,0.010059463811426222,0.012224739816221632,0.0011476637328230368,0.0026563329070152936,0.0040119554784576504
MA,0.10687434028552298,0.4702199407845879,0.14004355738261523,0.0,0.014525498184247953,0.0,0.009935785148835143,0.016322491325977427,0.09039309406999879,0.0,0.02689993028378464,0.0,0.0342476968160878,0.0011511280837714882,0.03589140682124865,0.036648953675712706,0.0005714543188968085,0.016274722818712496,0.0
MO,0.24129583534652044,0.16864967351033247,0.29070416143873895,0.011304059487940008,0.0035069996045735785,0.12321819252468393,0.007913782913793434,0.0066045826084544105,0.010467501856698735,0.03474226092761155,0.006540524636956662,0.020666925234894506,0.0,0.005969943918708651,0.0022900286131942805,0.0097729951433901,0.008165864401103146,0.03486382533218484,0.013322842500220316
LA,0.24624232510653793,0.28678908252342294,0.15926075895965627,0.015324118064782864,0.027071683192937,0.05619875175786904,0.04059088796426523,0.012114054518582083,0.015711456605985552,0.015183730991225792,0.02302158017422071,0.013157619421274436,0.009748538998144015,0.013550018646772143,0.0037326168097120277,0.02465562751953483,0.028220168504013717,0.008243431312724217,0.0011835489283391683
WV,0.04964474811712757,0.06586828975088432,0.0637911076454198,0.0035081420318770597,0.3857087894154477,0.022181106640285986,0.0013851891409304988,0.002740307443846547,7.290552618997453e-05,0.008250397502944927,0.018134732393121966,0.07027290795230422,0.00018657249868096748,0.0,0.03627553116341202,0.0022759727374967705,0.2669523780495372,0.001119365978978527,0.0016315560115139982
IN,0.10180356983622854,0.38850735192139846,0.09715951793892048,0.00018473998251857738,0.030391401559048445,0.0,0.003340325442275264,0.002021005166045613,0.05491291043976562,0.0,0.041537958281002006,0.0,0.13128975402348128,0.0,0.0728250691842243,0.049759693133769205,2.97614670187095e-06,0.026263726944620328,0.0
RI,0.2671111084772274,0.23185535341118804,0.14042155738792284,0.0,0.006716522112719905,0.049256431797489265,0.16190000786300937,0.02686103015785075,0.0060454774617837844,0.029403754939327325,0.01246614197568682,0.00592118633592232,0.012672492602493604,0.0,0.019384104779941073,0.0002006087594092881,0.0,0.0122929060364306,0.017491315901597613
IA,0.1273094589437727,0.3743016583779245,0.17821706081773706,0.008428343729147596,0.004647063705275058,0.0025737589415588203,0.03977913649177078,0.0005898344696050749,0.01753194606070358,0.0038999230888745245,0.029645424266330773,1.6307872881043834e-05,0.018632885643363788,0.0014981310471380257,0.001994036316388555,0.14680351909799436,1.3108320015480343e-06,0.0432134188787781,0.000916781418754076
MT,0.11991807555762697,0.2572185637265054,0.1705929528060185,0.028672296216508464,0.11691272924548311,0.0,0.0051167429490633805,0.024261089259883066,0.03788955381078663,0.00911770262082598,0.0028083932422607806,0.04435155461426794,0.003130871839095281,0.026069523874105036,0.027839343421619547,0.008600430858711821,0.09769222584974556,0.014509139379498083,0.0052988107279944106
IA,0.3117175948153371,0.2934477110240867,0.14858284376166248,0.004501524312675806,0.009867085288335492,0.06183577491723935,0.06136004155158566,0.0072132195059345615,0.004870335487059717,3.2973815723595934e-05,0.019420705455860623,0.010456605761030364,0.03511661630701382,0.0,0.0,0.02051505621714374,0.011053942702554427,0.0,7.969076756564511e-06
NY,0.016789170453775117,0.6841488339078312,0.14330850492041,0.0,0.061885008192944735,0.0,0.0,0.0,0.0,0.0,0.03893156428375313,0.0,0.002407836884522812,0.0009523204817870537,0.042593878516903015,0.008356782156581075,0.00042540538063921336,0.00020069482085258112,0.0
ID,0.27292293285407654,0.31933004687139754,0.18374352613851305,0.0030382603492112585,0.003043262058460336,0.00499914318541754,0.023227440754121944,0.004929761212447009,0.008554100984573857,2.2886769050498957e-05,0.03632374494600801,0.026012631446310622,0.02030941044497063,0.005161763063844688,0.01692846119413841,0.03943984858112314,0.008401837005916821,0.0236109421404181,0.0
VT,0.12123168043688376,0.2888497806810974,0.20634565223879453,0.004360516984987579,0.00316701439000647,0.007396513727948402,0.18257844960341488,0.016891466395068958,0.0,0.0870825341460864,0.0005294772129579067,0.012794664323519984,0.024799736849790498,0.017563944425733252,0.0005062739224355621,0.0011273757418283627,0.01413627582206455,0.0023720386577118827,0.00826660443966963
VA,0.17646099806636023,0.32027914205489816,0.0868185853992877,0.0020556734913433146,0.16381554414829236,0.011981859715897153,0.0024842560611634057,0.02112354567498393,0.008617674278635305,0.0020366745626685507,0.049132896212605755,0.10196215331964038,0.007732178628818496,0.00038945116531167117,0.010491101600158908,0.01340300572091569,0.018079945694893844,0.002320110139819728,0.0008152040643054192
TX,0.06343597277447345,0.46235064141256177,0.14043054174030903,0.0004354661431360303,0.01625714595529885,0.0,0.01690788083018615,0.0022481746219551128,0.02941175163939001,0.0,0.08092143747895542,0.0,0.06397857264532283,0.007692890199935157,0.059301860254971195,0.011850318815191946,3.736878056964435e-05,0.044739976707743385,0.0
FL,0.2852602760056096,0.4548059613334016,0.10452747843202582,0.004190144073754337,0.007709146256022767,0.00032959612992502867,0.03756758150688117,1.7734297414690955e-05,0.00509364020872598,0.0,0.018507296226025084,0.0,0.027720368645165798,0.004585115842553739,0.023846039011694273,0.01355009974519206,5.4962243050613035e-05,0.012234560042557414,0.0
CO,0.2707188244894944,0.21357049182026538,0.17443059708450895,0.026541551097242044,0.033877412177923116,0.0024225829033519743,0.12583777533014717,0.00323684893826164,0.03529259916307685,0.031840960772463366,0.009127669276042655,0.012093622396868278,0.0003621149563489818,0.016621600982257363,0.01659844466204932,0.0026173077921642983,0.021647955225782126,0.003111343834703149,5.0297097048944784e-05
AZ,0.05007888656800998,0.35500175288138724,0.08240174223108775,0.003231526660324768,0.021604958087037777,0.00015686768325228097,0.02477860629793964,0.001521686151327267,0.033205619374640054,0.0,0.02072349104128083,0.0,0.039889995706967156,0.011675430868069948,0.03186349664245399,0.31846408008301724,0.0038888999933688567,0.0015129597298351972,0.0
SC,0.3580780867465332,0.2788702572055186,0.02943554434093416,0.019552759291460425,0.1822595461336449,0.007936911075685553,0.001821451170381659,0.02745895473457977,0.001095673013428708,0.05689999632078366,0.0,0.02465384097127525,0.0,0.005818933710413118,0.0018496666052765763,0.0013044420429041141,0.0,0.0,0.002963936637180329
VA,0.26304365221609655,0.2504105917261647,0.18376381774138312,0.0002253009363684654,0.018151680980022292,0.034074654762473455,0.10666983757375387,0.013947666698376935,0.008110384102215382,0.0008757288611981406,0.017209950024506947,0.0005018420527086759,0.029471757707323354,0.0034132957944826886,0.005077984593955105,0.004755135306874665,0.0008067267218053219,0.058888294516957936,0.0006016976833323597
